Season,Winners,Winners Points,Runners-up,Runners-up Points,Third Place,Third Place Points
1929-1929,Barcelona,25,Real Madrid,23,Athletic Bilbao,20
1929-1930,Athletic Bilbao,30,Barcelona,23,Arenas,20
1930-1931,Athletic Bilbao,22,Racing Santander,22,Real Sociedad,22
1931-1932,Real Madrid,28,Athletic Bilbao,25,Barcelona,24
1932-1933,Real Madrid,28,Athletic Bilbao,26,Espanyol,22
1933-1934,Athletic Bilbao,24,Real Madrid,22,Racing Santander,19
1934-1935,Real Betis,34,Real Madrid,33,Oviedo,26
1935-1936,Athletic Bilbao,31,Real Madrid,29,Oviedo,28
1936-1937,-,-,-,-,-,-
1937-1938,-,-,-,-,-,-
1938-1939,-,-,-,-,-,-
1939-1940,Atletico Madrid,29,Sevilla,28,Athletic Bilbao,26
1940-1941,Atletico Madrid,33,Athletic Bilbao,31,Valencia,27
1941-1942,Valencia,40,Real Madrid,33,Atletico Madrid,33
1942-1943,Athletic Bilbao,36,Sevilla,33,Barcelona,32
1943-1944,Valencia,40,Atletico Madrid,34,Sevilla,32
1944-1945,Barcelona,39,Real Madrid,38,Atletico Madrid,31
1945-1946,Sevilla,36,Barcelona,35,Athletic Bilbao,35
1946-1947,Valencia,34,Athletic Bilbao,34,Atletico Madrid,32
1947-1948,Barcelona,37,Valencia,34,Atletico Madrid,33
1948-1949,Barcelona,37,Valencia,35,Real Madrid,34
1949-1950,Atletico Madrid,33,Deportivo La Coruna,32,Valencia,31
1950-1951,Atletico Madrid,40,Sevilla,38,Valencia,37
1951-1952,Barcelona,43,Athletic Bilbao,40,Real Madrid,38
1952-1953,Barcelona,42,Valencia,40,Real Madrid,39
1953-1954,Real Madrid,40,Barcelona,36,Valencia,34
1954-1955,Real Madrid,46,Barcelona,41,Athletic Bilbao,39
1955-1956,Athletic Bilbao,48,Barcelona,47,Real Madrid,38
1956-1957,Real Madrid,44,Sevilla,39,Barcelona,39
1957-1958,Real Madrid,45,Atletico Madrid,42,Barcelona,38
1958-1959,Barcelona,51,Real Madrid,47,Athletic Bilbao,36
1959-1960,Barcelona,46,Real Madrid,46,Athletic Bilbao,39
1960-1961,Real Madrid,52,Atletico Madrid,40,Zaragoza,33
1961-1962,Real Madrid,43,Barcelona,40,Atletico Madrid,36
1962-1963,Real Madrid,49,Atletico Madrid,37,Oviedo,33
1963-1964,Real Madrid,46,Barcelona,42,Real Betis,37
1964-1965,Real Madrid,47,Atletico Madrid,43,Zaragoza,40
1965-1966,Atletico Madrid,44,Real Madrid,43,Barcelona,38
1966-1967,Real Madrid,47,Barcelona,42,Espanyol,37
1967-1968,Real Madrid,42,Barcelona,39,Las Palmas,38
1968-1969,Real Madrid,47,Las Palmas,38,Barcelona,36
1969-1970,Atletico Madrid,42,Athletic Bilbao,41,Sevilla,35
1970-1971,Valencia,43,Barcelona,43,Atletico Madrid,42
1971-1972,Real Madrid,47,Valencia,45,Barcelona,43
1972-1973,Atletico Madrid,48,Barcelona,46,Espanyol,45
1973-1974,Barcelona,50,Atletico Madrid,42,Zaragoza,40
1974-1975,Real Madrid,50,Zaragoza,38,Barcelona,37
1975-1976,Real Madrid,48,Barcelona,43,Atletico Madrid,42
1976-1977,Atletico Madrid,46,Barcelona,45,Athletic Bilbao,38
1977-1978,Real Madrid,47,Barcelona,41,Athletic Bilbao,40
1978-1979,Real Madrid,47,Sporting Gijon,43,Atletico Madrid,41
1979-1980,Real Madrid,53,Real Sociedad,52,Sporting Gijon,39
1980-1981,Real Sociedad,45,Real Madrid,45,Atletico Madrid,42
1981-1982,Real Sociedad,47,Barcelona,45,Real Madrid,44
1982-1983,Athletic Bilbao,50,Real Madrid,49,Atletico Madrid,46
1983-1984,Athletic Bilbao,49,Real Madrid,49,Barcelona,48
1984-1985,Barcelona,53,Atletico Madrid,43,Athletic Bilbao,41
1985-1986,Real Madrid,56,Barcelona,45,Athletic Bilbao,43
1986-1987,Real Madrid,50,Barcelona,49,Espanyol,43
1987-1988,Real Madrid,62,Real Sociedad,51,Atletico Madrid,48
1988-1989,Real Madrid,62,Barcelona,57,Valencia,49
1989-1990,Real Madrid,62,Valencia,53,Barcelona,51
1990-1991,Barcelona,57,Atletico Madrid,47,Real Madrid,46
1991-1992,Barcelona,55,Real Madrid,54,Atletico Madrid,53
1992-1993,Barcelona,58,Real Madrid,57,Deportivo La Coruna,54
1993-1994,Barcelona,56,Deportivo La Coruna,56,Zaragoza,46
1994-1995,Real Madrid,55,Deportivo La Coruna,51,Real Betis,46
1995-1996,Atletico Madrid,87,Valencia,83,Barcelona,80
1996-1997,Real Madrid,92,Barcelona,90,Deportivo La Coruna,77
1997-1998,Barcelona,74,Athletic Bilbao,65,Real Sociedad,63
1998-1999,Barcelona,79,Real Madrid,68,Mallorca,66
